episode,sentiment,homer,marge,bart,lisa,maggie
15/07,NaN,0,0,0,0,0
15/08,1.3492063492063493,3,5,5,3,6
15/09,1.3088235294117647,8,0,10,4,0
15/10,1.2777777777777777,10,22,0,1,0
15/11,1.2307692307692308,0,0,2,0,0
15/12,1.0365853658536586,6,5,22,3,0
15/13,1.5535714285714286,1,3,1,13,29
15/14,1.0705882352941176,8,4,5,1,3
15/15,1.0,9,18,1,3,0
15/16,1.0389610389610389,5,1,13,0,0
15/17,1.4024390243902438,10,11,2,0,0
15/18,1.0,1,3,3,3,0
15/19,1.1948051948051948,11,0,0,4,0
15/20,1.4259259259259258,14,5,2,2,0
15/21,1.064516129032258,5,3,15,2,1
15/22,1.4482758620689655,2,2,4,7,0
16/01,1.0864197530864197,11,4,1,0,3
16/02,1.435483870967742,1,15,6,1,0
16/03,1.1515151515151516,2,0,11,10,0
16/04,1.576271186440678,8,15,3,12,1
16/05,1.0256410256410255,5,0,11,2,0
16/06,1.6724137931034482,7,3,1,1,0
16/07,1.3968253968253967,12,25,1,0,0
16/08,1.4655172413793103,11,0,1,1,0
16/09,0.6831683168316832,5,1,18,8,1
16/10,1.6666666666666667,7,8,0,0,0
16/11,0.810126582278481,4,0,13,8,0
16/12,1.118421052631579,11,5,5,4,0
16/13,1.0461538461538462,3,8,2,0,0
16/14,0.7586206896551724,4,5,3,1,0
16/15,1.5263157894736843,5,3,16,14,2
16/16,0.918918918918919,27,4,4,1,0
16/17,0.9726027397260274,1,4,15,1,1
16/18,1.55,0,3,5,10,1
16/19,1.2876712328767124,8,6,3,7,0
16/20,1.6326530612244898,12,1,2,0,3
16/21,1.12,9,13,30,1,0
17/01,1.596774193548387,16,15,2,2,1
17/02,0.7215189873417721,12,5,4,20,1
17/03,0.8589743589743589,9,8,13,1,9
17/04,0.9176470588235294,3,2,5,2,3
17/05,1.2545454545454546,7,6,12,0,1
17/06,NaN,0,0,0,0,0
17/07,NaN,0,0,0,0,0
17/08,0.9863013698630136,1,5,10,2,1
17/09,0.7916666666666666,0,2,1,0,0
17/10,1.0,15,2,1,1,0
17/11,0.9012345679012346,15,1,16,0,1
17/12,1.2835820895522387,1,1,4,7,0
17/13,1.130952380952381,2,0,4,1,0
17/14,0.9821428571428571,4,7,13,2,1
17/15,1.0786516853932584,7,8,2,1,0
17/16,0.8536585365853658,4,1,0,2,0
17/17,1.2790697674418605,4,3,0,2,0
17/18,0.9714285714285714,4,4,1,0,0
17/19,1.3492063492063493,0,0,3,7,0
17/20,1.4027777777777777,5,12,5,4,1
17/21,1.4705882352941178,7,1,2,10,1
17/22,1.121212121212121,16,5,2,0,0
18/01,1.05,6,1,4,3,0
18/02,1.3061224489795917,1,2,18,10,0
18/03,0.7045454545454546,7,5,5,0,0
18/04,0.6808510638297872,8,3,4,1,0
18/05,1.346938775510204,5,3,3,2,0
18/06,1.8076923076923077,7,1,0,6,0
18/07,1.6666666666666667,8,20,1,0,1
18/08,1.2098765432098766,3,0,18,8,0
18/09,1.4878048780487805,5,14,0,1,0
18/10,1.0677966101694916,12,5,4,1,1
18/11,0.88,5,1,5,2,0
18/12,1.3333333333333333,1,0,18,6,0
18/13,1.576271186440678,22,7,1,0,0
18/14,1.4545454545454546,0,3,7,6,0
18/15,1.1333333333333333,7,2,1,1,0
18/16,1.018181818181818,7,3,1,1,3
18/17,1.290909090909091,3,4,6,7,0
18/18,0.9325842696629213,7,2,27,0,0
18/19,0.9838709677419355,3,2,0,1,4
18/20,0.696969696969697,4,3,3,1,0
18/21,0.9137931034482759,0,0,6,5,0
18/22,0.987012987012987,1,5,7,3,3
19/01,1.794871794871795,16,5,1,0,0
19/02,1.7,15,7,2,2,0
19/03,0.8169014084507042,6,3,1,1,9
19/04,0.7922077922077922,5,12,1,9,0
19/05,0.8311688311688312,1,4,7,1,0
19/06,1.5833333333333333,1,5,6,1,2
19/07,1.5,4,18,1,0,1
19/08,0.7475728155339806,1,4,9,2,0
19/09,1.1724137931034482,13,7,1,2,1
19/10,1.16,2,4,1,2,0
19/11,0.891566265060241,9,20,1,1,0
19/12,1.6140350877192982,0,1,1,0,0
19/13,1.641025641025641,0,0,24,1,1
19/14,0.8409090909090909,4,5,10,1,0
19/15,1.1081081081081081,3,8,8,17,0
19/16,1.4305555555555556,6,7,1,0,0
19/17,1.4,0,1,15,3,1
19/18,1.2166666666666666,2,1,1,16,2
19/19,1.0,17,2,5,3,3
19/20,1.9607843137254901,0,0,5,13,0
20/01,1.7608695652173914,14,11,0,2,0
20/02,1.0185185185185186,0,0,22,0,1
20/03,1.125,8,1,23,2,0
20/04,0.7678571428571429,3,0,2,6,2
20/05,1.4166666666666667,13,19,4,1,0
20/06,1.1343283582089552,8,5,2,23,0
20/07,1.3076923076923077,6,3,8,8,0
20/08,1.2666666666666666,2,1,3,10,0
20/09,1.6862745098039216,2,1,7,15,0
20/10,1.7321428571428572,32,4,1,0,0
20/11,0.98,0,2,8,2,0
20/12,0.9285714285714286,7,7,4,3,0
20/13,NaN,0,0,0,0,0
20/14,1.3148148148148149,2,1,1,2,1
20/15,1.0909090909090908,9,16,1,0,0
20/16,1.9591836734693877,8,6,0,0,23
20/17,1.1475409836065573,1,1,19,4,0
20/18,1.3181818181818181,6,4,8,7,0
20/19,1.1746031746031746,1,4,7,12,0
20/20,1.3442622950819672,4,3,0,2,8
20/21,NaN,0,0,0,0,0
21/01,0.797752808988764,8,3,1,1,1
21/02,0.9431818181818182,1,0,11,0,0
21/03,0.8395061728395061,3,22,3,1,0
21/04,1.121212121212121,7,8,10,7,0
21/05,1.4680851063829787,16,16,4,0,0
21/06,1.4411764705882353,1,8,8,3,1
21/07,0.7204301075268817,8,3,0,8,0
21/08,1.353846153846154,1,0,14,5,4
21/09,0.9655172413793104,4,3,6,1,0
21/10,1.7045454545454546,0,2,5,0,0
21/11,1.9795918367346939,10,7,2,1,0
21/12,1.9090909090909092,11,9,3,4,1
21/13,1.6981132075471699,1,0,4,7,0
21/14,0.9104477611940298,1,6,16,1,0
21/15,1.2258064516129032,2,1,9,10,0
21/16,1.087719298245614,21,2,0,0,0
21/17,0.8953488372093024,1,0,5,3,0
21/18,1.1428571428571428,15,1,6,0,0
21/19,1.0704225352112675,2,1,3,8,0
21/20,1.0909090909090908,2,2,0,4,2
21/21,0.9746835443037974,8,12,1,1,0
21/22,1.1515151515151516,3,3,21,0,0
21/23,1.5873015873015872,1,2,0,1,0
22/01,1.3880597014925373,1,4,1,21,4
22/02,1.639344262295082,4,8,1,8,0
22/03,1.2884615384615385,4,4,20,8,1
22/04,0.5510204081632653,4,3,1,2,0
22/05,1.0952380952380953,5,2,4,8,5
22/06,0.7387387387387387,2,1,2,0,0
22/07,1.0158730158730158,7,6,12,2,1
22/08,1.3793103448275863,5,9,3,1,1
22/09,0.92,11,3,1,0,0
22/10,0.7875,5,4,3,1,0
22/11,1.5454545454545454,0,1,3,0,0
22/12,1.0895522388059702,5,2,8,2,0
22/13,1.3478260869565217,12,10,5,1,0
22/14,1.1176470588235294,7,0,11,2,0
22/15,0.7647058823529411,6,0,3,5,0
22/16,0.7108433734939759,11,9,2,0,0
22/17,1.2033898305084745,16,3,14,0,0
22/18,1.3333333333333333,2,2,3,12,0
22/19,0.8589743589743589,7,8,7,0,0
22/20,1.2318840579710144,10,4,4,15,0
22/21,0.6349206349206349,8,1,1,9,4
22/22,1.0119047619047619,11,3,6,1,1
23/01,1.025,7,4,1,1,1
23/02,1.0294117647058822,0,2,14,0,0
23/03,0.782608695652174,5,3,4,2,0
23/04,1.3278688524590163,7,3,11,2,0
23/05,1.40625,4,11,5,6,0
23/06,1.2891566265060241,2,0,1,5,1
